iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.9158804323159013,2.8968500950757194,0.07858455882352941,20.35744881629944,False,,,1,13ead2ae,6c693d2b2afc43f4923182db2e63b49c,2023-01-29_18-38-10,1675017490,20.35744881629944,30960,ML-RefVm-847530,10.0.0.15,20.35744881629944,0,1,0.006242513656616211
0,2.9339851257847807,2.9303957855000213,0.08272058823529412,20.942425966262817,False,0,0,1,13ead2ae,6c693d2b2afc43f4923182db2e63b49c,2023-01-29_18-42-46,1675017766,41.299874782562256,35640,ML-RefVm-847530,10.0.0.15,20.942425966262817,0,1,0.015810489654541016
1,2.7428403227936986,2.6756105563219856,0.11259191176470588,19.531205892562866,False,0,0,2,13ead2ae,6c693d2b2afc43f4923182db2e63b49c,2023-01-29_18-43-06,1675017786,60.83108067512512,35640,ML-RefVm-847530,10.0.0.15,40.473631858825684,0,2,0.015810489654541016
